zone,product,Post-Harvest,Post-Planting,difference_post_harvest_minus_post_planting,ratio_post_harvest_to_post_planting
1. North Central,Guinea corn / sorghum,0.31542288348042546,0.30791201880274155,0.007510864677683915,1.0243928921868282
1. North Central,Honey,0.0014546097978668658,0.0020202262489050537,-5.656164510381878e-4,0.7200232145559204
1. North Central,Kola nut,7.128988316294025e-4,8.833457222859772e-4,-1.7044689065657474e-4,0.8070439621131785
1. North Central,Leaves,0.055692460210493795,0.05311886620650964,0.0025735940039841518,1.0484497164148576
1. North Central,Local eggs,7.588975549971163e-4,0.0014398985241336358,-6.810009691365195e-4,0.5270493317949145
1. North Central,Maize - shelled/off cob,0.029897112979065534,0.03563014805048213,-0.005733035071416599,0.8390959514595948
1. North Central,Maize - unshelled/on cob,0.0036991168769440726,0.22759287840844175,-0.22389376153149768,0.016253218917973256
1. North Central,Maize flour,0.2446697697385151,0.37626849806195095,-0.13159872832343586,0.650253133065185
1. North Central,Malt drinks,0.009886767235044018,0.017699362683558355,-0.007812595448514337,0.5585945331369604
1. North Central,Mangoes,0.05050434860933808,0.011886723511704443,0.03861762509763363,4.2488031760483205
1. North Central,Meat pie/Sausage roll,2.832138720316827e-4,0.0013618922811236072,-0.0010786784090919244,0.20795614745537852
1. North Central,Melon - ground,0.0051148369276262165,0.0035799224528171732,0.0015349144748090433,1.428756347389917
1. North Central,Melon - shelled,0.00416154168004448,0.010784679069036246,-0.006623137388991765,0.3858753379127089
1. North Central,Melon - unshelled,6.160647387270292e-4,8.764599385089024e-4,-2.603951997818732e-4,0.702901195661177
1. North Central,Milk - tinned,2.064327872156337e-4,9.268454771265548e-4,-7.204126899109211e-4,0.2227262173794334
1. North Central,Milk powder,0.0035939766602051146,0.004015847314375854,-4.2187065417073925e-4,0.8949485323656269
1. North Central,Millet,0.0885938732218255,0.11905166782114403,-0.030457794599318522,0.7441632262970356
1. North Central,Mutton,6.565280615929051e-4,0.00460946683996597,-0.003952938778373064,0.14243036871434617
